28-05-2025 17:04:16 S-a adaugat pacientul Ana Maria
28-05-2025 17:04:20 S-a afisat lista pacientilor
28-05-2025 17:04:26 S-a cautat pacientul Ana Maria cu CNP 123
28-05-2025 17:04:31 S-a incercat c?utarea unui pacient inexistent cu CNP 2
28-05-2025 17:14:50 S-a cautat pacientul cu numele: a
28-05-2025 17:14:54 S-a afisat istoricul pacientului Pop Ana
28-05-2025 17:15:04 S-a cautat pacientul cu numele: a
28-05-2025 17:15:06 S-a afisat istoricul pacientului Spectru Alina
28-05-2025 17:57:24 S-a adaugat pacientul b b
28-05-2025 17:57:27 S-a afisat lista pacientilor
28-05-2025 17:57:33 S-a cautat pacientul b b cu CNP b
28-05-2025 17:57:41 S-a cautat pacientul cu numele: t
28-05-2025 17:57:51 S-a cautat pacientul cu numele: z
28-05-2025 17:58:01 S-a actualizat pacientul w w
28-05-2025 17:58:05 S-a cautat pacientul cu numele: w
28-05-2025 17:58:09 S-a sters pacientul w w
28-05-2025 17:58:13 S-a cautat pacientul cu numele: a
28-05-2025 17:58:35 S-a cautat pacientul cu numele: spectru
28-05-2025 17:58:37 S-a afisat istoricul pacientului Spectru Alina
28-05-2025 17:59:11 S-a ad?ugat doctorul doc tor
28-05-2025 17:59:14 S-a afisat lista doctorilor
28-05-2025 17:59:26 S-a incercat cautarea unui doctor inexistent cu CNP 1234
28-05-2025 17:59:37 S-a cautat doctorul cu numele: a
28-05-2025 17:59:42 S-a actualizat doctorul a a
28-05-2025 17:59:49 S-a cautat doctorul cu numele: a
28-05-2025 17:59:53 S-a actualizat doctorul a a
28-05-2025 17:59:58 S-a cautat doctorul cu numele: a
28-05-2025 18:00:09 S-a cautat pacientul cu numele: a
28-05-2025 18:00:13 S-a cautat doctorul cu numele: a
28-05-2025 18:01:14 S-a programat pacientul a d la doctorul a a la data 2025-12-12T13:50
28-05-2025 18:01:21 S-a cautat pacientul cu numele: a
28-05-2025 18:01:25 S-a cautat doctorul cu numele: t
28-05-2025 18:02:16 S-a cautat doctorul cu numele: a
28-05-2025 18:02:26 S-a afi?at programul doctorului a a pentru data 2025-12-12
28-05-2025 18:02:36 S-a cautat pacientul cu numele: a
28-05-2025 18:02:56 S-a cautat doctorul cu numele: a
28-05-2025 18:03:23 S-a marcat ca efectuat? programarea cu diagnostic ?i re?et? pentru pacientul cu CNP a la doctorul cu CNP a la data 2025-12-12T13:50
28-05-2025 18:22:41 S-a cautat pacientul cu numele: a
28-05-2025 18:22:46 S-a cautat doctorul cu numele: a
28-05-2025 18:23:01 S-a cautat pacientul cu numele: a
28-05-2025 18:23:03 S-a cautat doctorul cu numele: a
28-05-2025 18:23:12 S-a programat pacientul Pop Ana la doctorul Mihail Andrei la data 2025-12-12T12:00
28-05-2025 18:23:20 S-a cautat pacientul cu numele: a
28-05-2025 18:23:22 S-a cautat doctorul cu numele: a
28-05-2025 18:23:29 S-a afisat programul doctorului Mihail Andrei pentru data 2025-12-12
28-05-2025 18:23:53 S-a reprogramat pacientul Pop Ana la doctorul Mihail Andrei de la data 2025-12-12T12:00 la data 2025-11-11T08:00
28-05-2025 18:24:00 S-a cautat doctorul cu numele: a
28-05-2025 18:24:07 S-a afisat programul doctorului Mihail Andrei pentru data 2025-11-11
28-05-2025 18:24:15 S-a cautat pacientul cu numele: a
28-05-2025 18:24:16 S-a cautat doctorul cu numele: a
28-05-2025 18:24:22 S-a afisat programul doctorului Mihail Andrei pentru data 2025-11-11
28-05-2025 18:24:29 S-a marcat ca efectuata programarea cu diagnostic ?i re?et? pentru pacientul cu CNP 6837234278673 la doctorul cu CNP 1234567891234 la data 2025-11-11T08:00
28-05-2025 18:24:35 S-a cautat pacientul cu numele: a
28-05-2025 18:24:36 S-a afisat istoricul pacientului Pop Ana
